Date;Close;CloseDolar
2006-11-24;23.86;10.99
2006-11-27;24.1;11
2006-11-28;24.34;11.12
2006-11-29;24.44;11.27
2006-11-30;24.77;11.45
2006-12-01;24.87;11.47
2006-12-04;24.9;11.51
2006-12-05;24.95;11.6
2006-12-06;25.05;11.67
2006-12-07;25;11.67
2006-12-08;25.06;11.71
2006-12-11;25.12;11.75
2006-12-12;25.13;11.68
2006-12-13;25.11;11.7
2006-12-14;25.22;11.74
2006-12-15;25.12;11.7
2006-12-18;25.03;11.65
2006-12-19;25.01;11.57
2006-12-20;24.95;11.56
2006-12-21;24.86;11.53
2006-12-22;24.78;11.54
2006-12-26;24.65;11.5
2006-12-27;24.68;11.5
2006-12-28;24.74;11.58
2007-01-02;24.8;11.64
2007-01-03;24.8;11.59
2007-01-04;24.91;11.62
2007-01-05;25.05;11.64
2007-01-08;25.15;11.69
2007-01-09;25.32;11.77
2007-01-10;25.35;11.79
2007-01-11;25.33;11.81
2007-01-12;25.43;11.88
2007-01-15;25.3;11.81
2007-01-16;24.82;11.6
2007-01-17;25.01;11.72
2007-01-18;25.12;11.77
2007-01-19;25.14;11.8
2007-01-22;25.17;11.79
2007-01-23;25.2;11.82
2007-01-24;24.89;11.69
2007-01-25;24.86;11.65
2007-01-26;24.82;11.61
2007-01-29;24.81;11.62
2007-01-30;24.67;11.58
2007-01-31;24.56;11.56
2007-02-01;24.51;11.66
2007-02-02;23.94;11.37
2007-02-05;23.64;11.29
2007-02-06;23.08;11.06
2007-02-07;22.71;10.84
2007-02-08;22.69;10.84
2007-02-09;22.54;10.69
2007-02-12;22.3;10.55
2007-02-13;21.86;10.37
2007-02-14;21.37;10.22
2007-02-15;21.39;10.22
2007-02-16;21.3;10.18
2007-02-21;21.3;10.25
2007-02-22;20.87;10.02
2007-02-23;20.82;9.97
2007-02-26;20.84;10
2007-02-27;20.69;9.76
2007-02-28;20.57;9.7
2007-03-01;20.53;9.69
2007-03-02;20.36;9.55
2007-03-05;20.35;9.53
2007-03-06;20.38;9.63
2007-03-07;20.41;9.66
2007-03-08;20.3;9.64
2007-03-09;20.21;9.63
2007-03-12;20.14;9.65
2007-03-13;20.08;9.54
2007-03-14;19.99;9.53
2007-03-15;20.14;9.63
2007-03-16;20.14;9.62
